date_id,full_date,year,month,quarter,day_of_week,is_weekend,is_month_end,week_number
20230601,06/01/2023,2023,June,Q2,Thursday,FALSE,FALSE,
20230602,06/02/2023,2023,June,Q2,Friday,FALSE,FALSE,
20230603,06/03/2023,2023,June,Q2,Saturday,TRUE,FALSE,
20230604,06/04/2023,2023,June,Q2,Sunday,TRUE,FALSE,
20230605,06/05/2023,2023,June,Q2,Monday,FALSE,FALSE,
20230606,06/06/2023,2023,June,Q2,Tuesday,FALSE,FALSE,
20230607,06/07/2023,2023,June,Q2,Wednesday,FALSE,FALSE,
20230608,06/08/2023,2023,June,Q2,Thursday,FALSE,FALSE,
20230609,06/09/2023,2023,June,Q2,Friday,FALSE,FALSE,
20230610,06/10/2023,2023,June,Q2,Saturday,TRUE,FALSE,
20230611,06/11/2023,2023,June,Q2,Sunday,TRUE,FALSE,
20230612,06/12/2023,2023,June,Q2,Monday,FALSE,FALSE,
20230613,6/13/2023,2023,June,Q2,Tuesday,FALSE,FALSE,
20230614,6/14/2023,2023,June,Q2,Wednesday,FALSE,FALSE,
20230615,6/15/2023,2023,June,Q2,Thursday,FALSE,FALSE,
20230616,6/16/2023,2023,June,Q2,Friday,FALSE,FALSE,
20230617,6/17/2023,2023,June,Q2,Saturday,TRUE,FALSE,
20230618,6/18/2023,2023,June,Q2,Sunday,TRUE,FALSE,
20230619,6/19/2023,2023,June,Q2,Monday,FALSE,FALSE,
20230620,6/20/2023,2023,June,Q2,Tuesday,FALSE,FALSE,
20230621,6/21/2023,2023,June,Q2,Wednesday,FALSE,FALSE,
20230622,6/22/2023,2023,June,Q2,Thursday,FALSE,FALSE,
20230623,6/23/2023,2023,June,Q2,Friday,FALSE,FALSE,
20230624,6/24/2023,2023,June,Q2,Saturday,TRUE,FALSE,
20230625,6/25/2023,2023,June,Q2,Sunday,TRUE,FALSE,
20230626,6/26/2023,2023,June,Q2,Monday,FALSE,FALSE,
20230627,6/27/2023,2023,June,Q2,Tuesday,FALSE,FALSE,
20230628,6/28/2023,2023,June,Q2,Wednesday,FALSE,FALSE,
20230629,6/29/2023,2023,June,Q2,Thursday,FALSE,FALSE,
20230630,6/30/2023,2023,June,Q2,Friday,FALSE,TRUE,
20230701,07/01/2023,2023,July,Q3,Saturday,TRUE,FALSE,
20230702,07/02/2023,2023,July,Q3,Sunday,TRUE,FALSE,
20230703,07/03/2023,2023,July,Q3,Monday,FALSE,FALSE,
20230704,07/04/2023,2023,July,Q3,Tuesday,FALSE,FALSE,
20230705,07/05/2023,2023,July,Q3,Wednesday,FALSE,FALSE,
20230706,07/06/2023,2023,July,Q3,Thursday,FALSE,FALSE,
20230707,07/07/2023,2023,July,Q3,Friday,FALSE,FALSE,
20230708,07/08/2023,2023,July,Q3,Saturday,TRUE,FALSE,
20230709,07/09/2023,2023,July,Q3,Sunday,TRUE,FALSE,
20230710,07/10/2023,2023,July,Q3,Monday,FALSE,FALSE,
20230711,07/11/2023,2023,July,Q3,Tuesday,FALSE,FALSE,
20230712,07/12/2023,2023,July,Q3,Wednesday,FALSE,FALSE,
20230713,7/13/2023,2023,July,Q3,Thursday,FALSE,FALSE,
20230714,7/14/2023,2023,July,Q3,Friday,FALSE,FALSE,
20230715,7/15/2023,2023,July,Q3,Saturday,TRUE,FALSE,
20230716,7/16/2023,2023,July,Q3,Sunday,TRUE,FALSE,
20230717,7/17/2023,2023,July,Q3,Monday,FALSE,FALSE,
20230718,7/18/2023,2023,July,Q3,Tuesday,FALSE,FALSE,
20230719,7/19/2023,2023,July,Q3,Wednesday,FALSE,FALSE,
20230720,7/20/2023,2023,July,Q3,Thursday,FALSE,FALSE,
20230721,7/21/2023,2023,July,Q3,Friday,FALSE,FALSE,
20230722,7/22/2023,2023,July,Q3,Saturday,TRUE,FALSE,
20230723,7/23/2023,2023,July,Q3,Sunday,TRUE,FALSE,
20230724,7/24/2023,2023,July,Q3,Monday,FALSE,FALSE,
20230725,7/25/2023,2023,July,Q3,Tuesday,FALSE,FALSE,
20230726,7/26/2023,2023,July,Q3,Wednesday,FALSE,FALSE,
20230727,7/27/2023,2023,July,Q3,Thursday,FALSE,FALSE,
20230728,7/28/2023,2023,July,Q3,Friday,FALSE,FALSE,
20230729,7/29/2023,2023,July,Q3,Saturday,TRUE,FALSE,
20230730,7/30/2023,2023,July,Q3,Sunday,TRUE,FALSE,
20230731,7/31/2023,2023,July,Q3,Monday,FALSE,TRUE,
20230801,08/01/2023,2023,August,Q3,Tuesday,FALSE,FALSE,
20230802,08/02/2023,2023,August,Q3,Wednesday,FALSE,FALSE,
20230803,08/03/2023,2023,August,Q3,Thursday,FALSE,FALSE,
20230804,08/04/2023,2023,August,Q3,Friday,FALSE,FALSE,
20230805,08/05/2023,2023,August,Q3,Saturday,TRUE,FALSE,
20230806,08/06/2023,2023,August,Q3,Sunday,TRUE,FALSE,
20230807,08/07/2023,2023,August,Q3,Monday,FALSE,FALSE,
20230808,08/08/2023,2023,August,Q3,Tuesday,FALSE,FALSE,
20230809,08/09/2023,2023,August,Q3,Wednesday,FALSE,FALSE,
20230810,08/10/2023,2023,August,Q3,Thursday,FALSE,FALSE,
20230811,08/11/2023,2023,August,Q3,Friday,FALSE,FALSE,
20230812,08/12/2023,2023,August,Q3,Saturday,TRUE,FALSE,
20230813,8/13/2023,2023,August,Q3,Sunday,TRUE,FALSE,
20230814,8/14/2023,2023,August,Q3,Monday,FALSE,FALSE,
20230815,8/15/2023,2023,August,Q3,Tuesday,FALSE,FALSE,
20230816,8/16/2023,2023,August,Q3,Wednesday,FALSE,FALSE,
20230817,8/17/2023,2023,August,Q3,Thursday,FALSE,FALSE,
20230818,8/18/2023,2023,August,Q3,Friday,FALSE,FALSE,
20230819,8/19/2023,2023,August,Q3,Saturday,TRUE,FALSE,
20230820,8/20/2023,2023,August,Q3,Sunday,TRUE,FALSE,
20230821,8/21/2023,2023,August,Q3,Monday,FALSE,FALSE,
20230822,8/22/2023,2023,August,Q3,Tuesday,FALSE,FALSE,
20230823,8/23/2023,2023,August,Q3,Wednesday,FALSE,FALSE,
20230824,8/24/2023,2023,August,Q3,Thursday,FALSE,FALSE,
20230825,8/25/2023,2023,August,Q3,Friday,FALSE,FALSE,
20230826,8/26/2023,2023,August,Q3,Saturday,TRUE,FALSE,
20230827,8/27/2023,2023,August,Q3,Sunday,TRUE,FALSE,
20230828,8/28/2023,2023,August,Q3,Monday,FALSE,FALSE,
20230829,8/29/2023,2023,August,Q3,Tuesday,FALSE,FALSE,
20230830,8/30/2023,2023,August,Q3,Wednesday,FALSE,FALSE,
20230831,8/31/2023,2023,August,Q3,Thursday,FALSE,TRUE,
20230901,09/01/2023,2023,September,Q3,Friday,FALSE,FALSE,
20230902,09/02/2023,2023,September,Q3,Saturday,TRUE,FALSE,
20230903,09/03/2023,2023,September,Q3,Sunday,TRUE,FALSE,
20230904,09/04/2023,2023,September,Q3,Monday,FALSE,FALSE,
20230905,09/05/2023,2023,September,Q3,Tuesday,FALSE,FALSE,
20230906,09/06/2023,2023,September,Q3,Wednesday,FALSE,FALSE,
20230907,09/07/2023,2023,September,Q3,Thursday,FALSE,FALSE,
20230908,09/08/2023,2023,September,Q3,Friday,FALSE,FALSE,
20230909,09/09/2023,2023,September,Q3,Saturday,TRUE,FALSE,
20230910,09/10/2023,2023,September,Q3,Sunday,TRUE,FALSE,
20230911,09/11/2023,2023,September,Q3,Monday,FALSE,FALSE,
20230912,09/12/2023,2023,September,Q3,Tuesday,FALSE,FALSE,
20230913,9/13/2023,2023,September,Q3,Wednesday,FALSE,FALSE,
20230914,9/14/2023,2023,September,Q3,Thursday,FALSE,FALSE,
20230915,9/15/2023,2023,September,Q3,Friday,FALSE,FALSE,
20230916,9/16/2023,2023,September,Q3,Saturday,TRUE,FALSE,
20230917,9/17/2023,2023,September,Q3,Sunday,TRUE,FALSE,
20230918,9/18/2023,2023,September,Q3,Monday,FALSE,FALSE,
20230919,9/19/2023,2023,September,Q3,Tuesday,FALSE,FALSE,
20230920,9/20/2023,2023,September,Q3,Wednesday,FALSE,FALSE,
20230921,9/21/2023,2023,September,Q3,Thursday,FALSE,FALSE,
20230922,9/22/2023,2023,September,Q3,Friday,FALSE,FALSE,
20230923,9/23/2023,2023,September,Q3,Saturday,TRUE,FALSE,
20230924,9/24/2023,2023,September,Q3,Sunday,TRUE,FALSE,
20230925,9/25/2023,2023,September,Q3,Monday,FALSE,FALSE,
20230926,9/26/2023,2023,September,Q3,Tuesday,FALSE,FALSE,
20230927,9/27/2023,2023,September,Q3,Wednesday,FALSE,FALSE,
20230928,9/28/2023,2023,September,Q3,Thursday,FALSE,FALSE,
20230929,9/29/2023,2023,September,Q3,Friday,FALSE,FALSE,
20230930,9/30/2023,2023,September,Q3,Saturday,TRUE,TRUE,
20231001,10/01/2023,2023,October,Q4,Sunday,TRUE,FALSE,
20231002,10/02/2023,2023,October,Q4,Monday,FALSE,FALSE,
20231003,10/03/2023,2023,October,Q4,Tuesday,FALSE,FALSE,
20231004,10/04/2023,2023,October,Q4,Wednesday,FALSE,FALSE,
20231005,10/05/2023,2023,October,Q4,Thursday,FALSE,FALSE,
20231006,10/06/2023,2023,October,Q4,Friday,FALSE,FALSE,
20231007,10/07/2023,2023,October,Q4,Saturday,TRUE,FALSE,
20231008,10/08/2023,2023,October,Q4,Sunday,TRUE,FALSE,
20231009,10/09/2023,2023,October,Q4,Monday,FALSE,FALSE,
20231010,10/10/2023,2023,October,Q4,Tuesday,FALSE,FALSE,
20231011,10/11/2023,2023,October,Q4,Wednesday,FALSE,FALSE,
20231012,10/12/2023,2023,October,Q4,Thursday,FALSE,FALSE,
20231013,10/13/2023,2023,October,Q4,Friday,FALSE,FALSE,
20231014,10/14/2023,2023,October,Q4,Saturday,TRUE,FALSE,
20231015,10/15/2023,2023,October,Q4,Sunday,TRUE,FALSE,
20231016,10/16/2023,2023,October,Q4,Monday,FALSE,FALSE,
20231017,10/17/2023,2023,October,Q4,Tuesday,FALSE,FALSE,
20231018,10/18/2023,2023,October,Q4,Wednesday,FALSE,FALSE,
20231019,10/19/2023,2023,October,Q4,Thursday,FALSE,FALSE,
20231020,10/20/2023,2023,October,Q4,Friday,FALSE,FALSE,
